Date,Humidity,Temperature
2021-01-05,56.33390046296296,73.84308300395257
2021-01-06,63.471099537037034,70.59099099099099
2021-01-07,53.81318287037037,67.4895225464191
2021-01-08,84.17660879629629,69.50145502645502
2021-01-09,60.755567129629625,72.49659239842727
2021-01-10,58.63390046296296,76.73792667509481
2021-01-11,54.88255787037037,72.87330729166666
2021-01-12,77.20208333333333,63.40117035110533
2021-02-05,56.030196759259255,74.04077540106952
2021-02-06,61.714629629629634,70.6179746835443
2021-02-07,59.2821875,66.45611979166667
2021-02-08,83.72979166666666,69.52791327913279
2021-02-09,61.477349537037036,72.51767810026385
2021-02-10,59.75107638888889,76.86505235602094
2021-02-11,58.59505787037037,72.2741357234315
2021-02-12,77.19403935185184,62.045811518324605
2021-03-05,57.59896990740741,73.80065104166667
2021-03-06,63.59857638888889,70.66653645833334
2021-03-07,62.281226851851855,64.42790697674418
2021-03-08,83.48993055555556,69.50357615894039
2021-03-09,60.24266203703704,72.25725094577554
2021-03-10,56.257719907407406,76.82886597938143
2021-03-11,58.21219907407407,72.36670918367346
2021-03-12,78.20046296296296,58.706598984771574
2021-04-05,58.23952546296296,73.5740932642487
2021-04-06,65.79998842592593,70.84820971867008
2021-04-07,61.74604166666667,64.29322250639386
2021-04-08,82.68113425925925,69.48928571428571
2021-04-09,59.560324074074074,72.31506493506494
2021-04-10,55.25547453703704,76.56691823899371
2021-04-11,56.61636574074074,72.3102998696219
2021-04-12,78.32085946573751,57.56459802538787
2021-04-30,55.255515873015874,72.92914798206279
2021-05-05,58.14309027777777,73.60203045685279
2021-05-06,64.90795138888889,70.6706940874036
2021-05-07,60.688298611111115,64.3114956736712
2021-05-08,80.62208333333332,69.8958174904943
2021-05-09,58.93954861111111,72.37291941875826
2021-05-10,57.87790509259259,76.20367553865653
2021-05-11,57.94829861111111,72.39821428571429
2021-05-12,77.51913093858631,55.0341590612777
2021-05-13,59.927893518518516,73.76804123711341
2021-05-14,59.834398148148146,70.8688567674113
2021-05-15,64.75650462962963,70.98911392405063
2021-05-16,61.29972222222222,70.88390501319262
2021-05-17,59.310706018518516,70.8474358974359
2021-05-18,63.30458333333334,71.08435897435898
2021-05-19,64.07452546296297,71.14030612244898
2021-05-20,60.74697566628041,71.00628205128206
2021-05-21,62.07258101851852,71.38959687906372
2021-05-22,63.31219907407407,70.95767741935484
2021-05-23,62.98501157407408,70.80629921259843
2021-05-24,64.05032407407408,70.82947368421053
2021-05-25,63.66489583333333,70.80833333333334
2021-05-26,64.60979166666667,70.88313878080415
2021-05-27,59.726157407407406,70.96487867177522
2021-05-28,59.69868055555555,70.88361508452536
2021-05-29,63.511307870370366,70.9581098339719
2021-05-30,59.04349537037037,70.78567674113009
2021-05-31,60.96125,70.73600525624178
2021-06-05,60.059317129629626,74.41347881899871
2021-06-06,63.527430555555554,70.8086513994911
2021-06-07,59.140208333333334,65.04305364511693
2021-06-08,76.10444444444445,70.15721331689272
2021-06-09,58.99370799536501,72.53797953964194
2021-06-10,58.54761020881671,75.97516005121639
2021-06-11,57.85109953703704,72.3215404699739
2021-06-12,76.21887731481482,54.40210656753408
2021-06-13,65.39298611111111,70.56701164294955
2021-06-14,67.8308912037037,70.50808729139924
2021-06-15,66.99226851851851,71.08235294117647
2021-06-16,66.37523148148148,70.93537675606642
2021-06-17,65.50554398148148,70.7091743119266
2021-06-18,68.19318287037038,70.18174807197944
2021-06-19,66.52622685185186,66.37161290322581
2021-06-20,66.74847222222222,66.85641025641026
2021-06-21,66.92315483119907,69.66957087126139
2021-06-22,66.60450231481481,70.75376623376624
2021-06-23,65.06447916666667,68.05157068062827
2021-06-24,65.73015046296297,67.60270967741936
2021-06-25,68.14965277777777,68.01417525773196
2021-06-26,65.61630787037036,67.96531413612566
2021-06-27,65.65965277777778,67.50703125
2021-06-28,65.68885416666666,67.13141361256545
2021-06-29,62.51909722222222,66.5482894736842
2021-06-30,64.38555555555556,65.3120711562897
2021-07-05,59.41303240740741,74.49481865284974
2021-07-06,63.23280092592592,70.57619047619048
2021-07-07,59.517094907407404,64.99289340101522
2021-07-08,75.42327546296296,70.44101326899879
2021-07-09,57.88799768518519,74.10516129032258
2021-07-10,56.002094907407404,76.14714828897338
2021-07-11,54.508655555555556,72.55883807169344
2021-07-12,76.98623842592593,55.36091644204852
2021-07-13,79.32648148148148,65.03725992317541
2021-07-14,81.61864583333333,65.05862944162436
2021-07-15,79.62296296296297,65.3319391634981
2021-07-16,79.17462962962964,65.27367055771725
2021-07-17,78.58207175925926,65.25085413929041
2021-07-18,78.51476878612716,65.29317406143345
2021-07-30,84.77208092485549,69.42124463519313
2021-07-31,85.13134259259259,69.56367292225201
2021-08-05,59.77966435185185,74.62089171974523
2021-08-06,64.83342624854821,70.44908854166667
2021-08-07,61.04618055555556,64.76793145654835
2021-08-08,74.20038194444444,70.75979772439949
2021-08-09,56.43881944444444,76.07842639593909
2021-08-10,59.253506944444446,76.54052287581699
2021-08-11,54.42172453703704,72.07139240506329
2021-08-12,74.16975694444444,57.220555555555556
2021-08-13,91.61766203703704,65.28047182175622
2021-08-14,88.65925925925927,66.32516733601071
2021-08-15,84.26415990730011,66.64196547144755
2021-08-16,85.9175925925926,66.49054054054054
2021-08-17,91.27,65.76269633507853
2021-08-18,80.22843342036553,69.075799086758
2021-08-19,60.899138888888885,73.89162861491629
2021-08-20,62.61873961218837,73.34633781763826
2021-08-21,64.19948896631824,72.94929214929215
2021-08-22,60.01542824074074,72.84891719745224
2021-08-23,57.70186342592593,73.01953028430161
