Date,CO2 Instantaneous,CO2 TWA
2021-01-05,748.8680555555555,750.2986111111111
2021-01-06,635.0370370370371,634.925925925926
2021-01-07,1525.5555555555557,1557.826388888889
2021-01-09,1225.8614318706698,1254.7344110854503
2021-01-10,2079.636574074074,2022.585648148148
2021-01-11,2336.949074074074,2301.5694444444443
2021-01-12,909.1921296296297,928.5046296296297
2021-02-05,807.5046296296297,810.6180555555555
2021-02-06,1102.3125,869.6273148148148
2021-02-07,1727.7708333333333,1678.0648148148148
2021-02-09,1335.875,1322.2777777777778
2021-02-10,2289.7314814814813,2331.196759259259
2021-02-11,2339.3171296296296,2396.6550925925926
2021-02-12,830.0254629629629,834.6458333333334
2021-03-05,780.6944444444445,779.1226851851852
2021-03-06,1672.099537037037,1667.3287037037037
2021-03-07,1986.0925925925926,1929.951388888889
2021-03-09,1173.4444444444443,1176.423611111111
2021-03-10,2100.127314814815,2081.4791666666665
2021-03-11,1499.662037037037,1613.2083333333333
2021-03-12,780.5300925925926,794.199074074074
2021-04-05,825.4421296296297,804.125
2021-04-06,1883.4027777777778,1882.5162037037037
2021-04-07,1814.8009259259259,1877.0046296296296
2021-04-08,1142.7197802197802,1246.1373626373627
2021-04-09,1097.2430555555557,1148.8333333333333
2021-04-10,2017.9050925925926,2046.5092592592594
2021-04-11,1427.289351851852,1422.226851851852
2021-04-12,734.8697674418605,738.4604651162791
2021-04-30,685.047619047619,675.5238095238095
2021-05-05,824.4027777777778,831.8171296296297
2021-05-06,1761.2476851851852,1755.2916666666667
2021-05-07,1720.6875,1732.0046296296296
2021-05-08,1069.1468531468531,1095.6480186480187
2021-05-09,852.9513888888889,887.7222222222222
2021-05-10,2078.3611111111113,2023.960648148148
2021-05-11,1392.1180555555557,1404.039351851852
2021-05-12,688.2754629629629,702.0439814814815
2021-05-13,977.4907407407408,1006.8194444444445
2021-05-14,915.1064814814815,912.1689814814815
2021-05-15,1052.6157407407406,1051.0717592592594
2021-05-16,964.0578703703703,964.9421296296297
