Date,Light Lux
2021-01-05,7034.006944444444
2021-01-06,2445.6689814814813
2021-01-07,0.037037037037037035
2021-01-08,0.0
2021-01-09,701.4398148148148
2021-01-10,5954.43287037037
2021-01-11,5569.898148148148
2021-01-12,94.82175925925925
2021-02-05,6879.275462962963
2021-02-06,2124.247685185185
2021-02-07,0.3425925925925926
2021-02-08,0.1550925925925926
2021-02-09,562.6041666666666
2021-02-10,6160.111111111111
2021-02-11,5013.009259259259
2021-02-12,90.59953703703704
2021-03-05,5869.826388888889
2021-03-06,2116.8935185185187
2021-03-07,0.25462962962962965
2021-03-08,0.24708624708624707
2021-03-09,683.8194444444445
2021-03-10,6580.208333333333
2021-03-11,5467.05787037037
2021-03-12,94.57407407407408
2021-04-05,4588.601851851852
2021-04-06,2090.465277777778
2021-04-07,0.25
2021-04-08,0.2930232558139535
2021-04-09,726.9861111111111
2021-04-10,6308.064814814815
2021-04-11,5475.134259259259
2021-04-12,89.12325581395349
2021-04-30,9580.817460317461
2021-05-05,3707.6064814814813
2021-05-06,2019.023148148148
2021-05-07,0.26851851851851855
2021-05-08,5.405594405594406
2021-05-09,735.2199074074074
2021-05-10,6388.402777777777
2021-05-11,5467.622685185185
2021-05-12,19.34259259259259
2021-05-13,1586.6226851851852
2021-05-14,1430.226851851852
2021-05-15,1347.4212962962963
2021-05-16,1433.5555555555557
2021-05-17,2036.5740740740741
2021-05-18,2247.384259259259
2021-05-19,2218.1550925925926
2021-05-20,2135.453703703704
2021-05-21,1432.6898148148148
2021-05-22,2526.074074074074
2021-05-23,2476.9791666666665
2021-05-24,2353.252314814815
2021-05-25,1868.2685185185185
2021-05-26,1821.0092592592594
2021-05-27,2074.474537037037
2021-05-28,2060.275462962963
2021-05-29,2033.7847222222222
2021-05-30,2018.226851851852
2021-05-31,2252.064814814815
2021-06-05,2046.9699074074074
2021-06-06,1978.2384259259259
2021-06-07,0.16666666666666666
2021-06-08,0.522248243559719
2021-06-09,803.011574074074
2021-06-10,6328.759906759907
2021-06-11,5482.930555555556
2021-06-12,62.7962962962963
2021-06-13,1924.4444444444443
2021-06-14,1816.710648148148
2021-06-15,2192.002314814815
2021-06-16,2448.7800925925926
2021-06-17,2592.5
2021-06-18,2236.9675925925926
2021-06-19,2722.215277777778
2021-06-20,2575.6041666666665
2021-06-21,2885.841491841492
2021-06-22,2758.087962962963
2021-06-23,2375.3541666666665
2021-06-24,1997.837962962963
2021-06-25,2909.8611111111113
2021-06-26,2995.902777777778
2021-06-27,2882.712962962963
2021-06-28,1531.414351851852
2021-06-29,21.810185185185187
2021-06-30,5.666666666666667
2021-07-05,1960.6967592592594
2021-07-06,1975.3240740740741
2021-07-07,0.0023148148148148147
2021-07-08,0.0
2021-07-09,5498.321759259259
2021-07-10,6814.173611111111
2021-07-11,5729.177777777778
2021-07-12,85.92361111111111
2021-07-13,0.0
2021-07-14,0.08796296296296297
2021-07-15,0.1111111111111111
2021-07-16,0.08796296296296297
2021-07-17,0.0
2021-07-18,0.0
2021-07-31,0.0
2021-08-05,1834.0092592592594
2021-08-06,1996.9628770301624
2021-08-07,0.07175925925925926
2021-08-08,0.0
2021-08-09,6952.645833333333
2021-08-10,6579.449074074074
2021-08-11,5424.122685185185
2021-08-12,169.95138888888889
2021-08-13,558.2638888888889
2021-08-14,1276.0092807424594
2021-08-15,1454.645011600928
2021-08-16,1438.7488372093023
2021-08-17,1286.0232018561485
2021-08-18,792.0904872389791
2021-08-19,829.2180974477958
2021-08-20,622.1296296296297
2021-08-21,650.8213457076566
2021-08-22,655.4895591647331
2021-08-23,590.5162037037037
2021-08-24,581.030162412993
2021-08-25,658.125
2021-08-26,648.7152777777778
2021-08-27,538.5856481481482
2021-08-28,678.425925925926
2021-08-29,694.2060185185185
2021-08-30,660.9305555555555
2021-08-31,688.1620370370371
2021-09-05,1873.6527777777778
2021-09-06,2033.275462962963
2021-09-07,0.0
2021-09-08,2.599537037037037
2021-09-09,7117.706018518518
2021-09-10,6694.381944444444
2021-09-11,5520.599537037037
2021-09-12,179.29861111111111
2021-09-13,6720.532407407408
2021-09-14,6756.939814814815
2021-09-15,6830.726218097448
2021-09-16,6895.68287037037
2021-09-17,5459.377314814815
2021-09-18,6953.650462962963
2021-09-19,7032.840277777777
2021-09-20,7130.353488372093
2021-09-21,7038.666666666667
2021-09-22,7128.381944444444
2021-09-23,6818.439814814815
2021-09-24,6483.532407407408
2021-09-25,6928.051764705882
2021-09-26,6997.099537037037
2021-09-27,7007.363425925926
2021-09-28,5977.960648148148
2021-09-29,6280.756944444444
2021-09-30,6203.844907407408
2021-10-05,1783.858468677494
2021-10-06,1869.0555555555557
2021-10-07,0.0
2021-10-08,2.6064814814814814
2021-10-09,5908.5860465116275
2021-10-10,6657.4537037037035
2021-10-11,4140.372685185185
2021-10-12,122.4050925925926
2021-10-13,6660.689814814815
2021-10-14,6563.074074074074
2021-10-15,6279.578088578089
2021-10-16,5951.12037037037
2021-10-17,5959.155092592592
2021-10-18,5879.627314814815
2021-10-19,6173.5625
2021-10-20,6166.657407407408
2021-10-21,6084.1412037037035
2021-10-22,6163.69212962963
2021-10-23,6038.928240740741
2021-10-24,5846.759259259259
2021-10-25,5396.599537037037
2021-10-26,5194.416666666667
2021-10-27,5627.868055555556
2021-10-28,6007.423611111111
2021-10-29,5681.111111111111
2021-10-30,5616.712962962963
2021-10-31,5621.787037037037
2021-11-05,1631.8425925925926
2021-11-06,1877.6898148148148
2021-11-07,0.0
2021-11-08,2.8356481481481484
2021-11-09,6672.986111111111
